"区分","職名別教員数（本務者）_計_計","職名別教員数（本務者）_計_男","職名別教員数（本務者）_計_女","職名別教員数（本務者）_校長_男","職名別教員数（本務者）_校長_女","職名別教員数（本務者）_副校長_男","職名別教員数（本務者）_副校長_女","職名別教員数（本務者）_教頭_男","職名別教員数（本務者）_教頭_女","職名別教員数（本務者）_主幹教諭_男","職名別教員数（本務者）_主幹教諭_女","職名別教員数（本務者）_指導教諭_男","職名別教員数（本務者）_指導教諭_女","職名別教員数（本務者）_教諭_男","職名別教員数（本務者）_教諭_女","職名別教員数（本務者）_助教諭_男","職名別教員数（本務者）_助教諭_女","職名別教員数（本務者）_養護教諭_男","職名別教員数（本務者）_養護教諭_女","職名別教員数（本務者）_養護助教諭_男","職名別教員数（本務者）_養護助教諭_女","職名別教員数（本務者）_栄養教諭_男","職名別教員数（本務者）_栄養教諭_女","職名別教員数（本務者）（つづき）_講師_男","職名別教員数（本務者）（つづき）_講師_女","職名別教員数（本務者）（つづき）_計のうち市町村費負担の教員（再掲）_男","職名別教員数（本務者）（つづき）_計のうち市町村費負担の教員（再掲）_女","職名別教員数（本務者）（つづき）_計のうち公立（再掲）_男","職名別教員数（本務者）（つづき）_計のうち公立（再掲）_女","職名別教員数（兼務者）_計_計","職名別教員数（兼務者）_計_男","職名別教員数（兼務者）_計_女","職名別教員数（兼務者）_校長_男","職名別教員数（兼務者）_校長_女","職名別教員数（兼務者）_教頭_男","職名別教員数（兼務者）_教頭_女","職名別教員数（兼務者）_教諭_男","職名別教員数（兼務者）_教諭_女","職名別教員数（兼務者）_養護教諭_男","職名別教員数（兼務者）_養護教諭_女","職名別教員数（兼務者）_養護助教諭_男","職名別教員数（兼務者）_養護助教諭_女","職名別教員数（兼務者）_栄養教諭_男","職名別教員数（兼務者）_栄養教諭_女","職名別教員数（兼務者）_講師_男","職名別教員数（兼務者）_講師_女","本務教員のうち理由別休職等教員数（再掲）_校長・副校長・教頭・主幹教諭・指導教諭・教諭・助教諭・講師_計","本務教員のうち理由別休職等教員数（再掲）_校長・副校長・教頭・主幹教諭・指導教諭・教諭・助教諭・講師_休職_組合事務専従者","本務教員のうち理由別休職等教員数（再掲）_校長・副校長・教頭・主幹教諭・指導教諭・教諭・助教諭・講師_休職_職務上負傷疾病","本務教員のうち理由別休職等教員数（再掲）_校長・副校長・教頭・主幹教諭・指導教諭・教諭・助教諭・講師_休職_結核","本務教員のうち理由別休職等教員数（再掲）_校長・副校長・教頭・主幹教諭・指導教諭・教諭・助教諭・講師_休職_その他","本務教員のうち理由別休職等教員数（再掲）_校長・副校長・教頭・主幹教諭・指導教諭・教諭・助教諭・講師_育児休業","本務教員のうち理由別休職等教員数（再掲）_養護教諭・養護助教諭・栄養教諭_計","本務教員のうち理由別休職等教員数（再掲）_養護教諭・養護助教諭・栄養教諭_休職_組合事務専従者","本務教員のうち理由別休職等教員数（再掲）_養護教諭・養護助教諭・栄養教諭_休職_職務上負傷疾病","本務教員のうち理由別休職等教員数（再掲）_養護教諭・養護助教諭・栄養教諭_休職_結核","本務教員のうち理由別休職等教員数（再掲）_養護教諭・養護助教諭・栄養教諭_休職_その他","本務教員のうち理由別休職等教員数（再掲）_養護教諭・養護助教諭・栄養教諭_育児休業"
"県計  ","3810.0","1461.0","2349.0","212.0","32.0","0.0","1.0","173.0","70.0","1.0","0.0","0.0","0.0","900.0","1716.0","0.0","1.0","0.0","210.0","0.0","41.0","0.0","28.0","175.0","250.0","0.0","1.0","1426.0","2317.0","445.0","105.0","340.0","2.0","1.0","3.0","0.0","52.0","61.0","0.0","1.0","0.0","3.0","0.0","75.0","48.0","199.0","111.0","1.0","0.0","0.0","8.0","102.0","5.0","0.0","0.0","0.0","0.0","5.0"
"和歌山市","1158.0","422.0","736.0","40.0","14.0","0.0","0.0","38.0","20.0","1.0","0.0","0.0","0.0","277.0","522.0","0.0","0.0","0.0","51.0","0.0","10.0","0.0","10.0","66.0","109.0","0.0","1.0","391.0","712.0","99.0","21.0","78.0","1.0","0.0","0.0","0.0","6.0","14.0","0.0","0.0","0.0","0.0","0.0","11.0","14.0","53.0","33.0","0.0","0.0","0.0","4.0","29.0","1.0","0.0","0.0","0.0","0.0","1.0"
"海南市","192.0","72.0","120.0","9.0","3.0","0.0","0.0","8.0","4.0","0.0","0.0","0.0","0.0","47.0","88.0","0.0","0.0","0.0","12.0","0.0","0.0","0.0","2.0","8.0","11.0","0.0","0.0","72.0","120.0","33.0","4.0","29.0","0.0","0.0","0.0","0.0","4.0","1.0","0.0","0.0","0.0","0.0","0.0","20.0","0.0","8.0","8.0","0.0","0.0","0.0","1.0","7.0","0.0","0.0","0.0","0.0","0.0","0.0"
"橋本市","253.0","89.0","164.0","13.0","3.0","0.0","1.0","9.0","6.0","0.0","0.0","0.0","0.0","58.0","129.0","0.0","1.0","0.0","10.0","0.0","5.0","0.0","0.0","9.0","9.0","0.0","0.0","85.0","156.0","43.0","21.0","22.0","0.0","0.0","1.0","0.0","8.0","8.0","0.0","1.0","0.0","0.0","0.0","0.0","12.0","13.0","3.0","0.0","0.0","0.0","0.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0"
"有田市","121.0","41.0","80.0","6.0","1.0","0.0","0.0","4.0","3.0","0.0","0.0","0.0","0.0","29.0","63.0","0.0","0.0","0.0","7.0","0.0","1.0","0.0","0.0","2.0","5.0","0.0","0.0","41.0","80.0","7.0","4.0","3.0","0.0","0.0","0.0","0.0","2.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","1.0","4.0","1.0","0.0","0.0","0.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0"
"御坊市","102.0","38.0","64.0","6.0","0.0","0.0","0.0","4.0","2.0","0.0","0.0","0.0","0.0","25.0","50.0","0.0","0.0","0.0","6.0","0.0","0.0","0.0","0.0","3.0","6.0","0.0","0.0","38.0","64.0","15.0","1.0","14.0","0.0","0.0","0.0","0.0","1.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","10.0","5.0","0.0","0.0","0.0","0.0","5.0","0.0","0.0","0.0","0.0","0.0","0.0"
"田辺市","338.0","141.0","197.0","24.0","3.0","0.0","0.0","17.0","9.0","0.0","0.0","0.0","0.0","86.0","141.0","0.0","0.0","0.0","25.0","0.0","2.0","0.0","3.0","14.0","14.0","0.0","0.0","141.0","197.0","34.0","5.0","29.0","0.0","0.0","0.0","0.0","3.0","6.0","0.0","0.0","0.0","0.0","0.0","14.0","2.0","9.0","9.0","0.0","0.0","0.0","1.0","8.0","0.0","0.0","0.0","0.0","0.0","0.0"
"新宮市","98.0","35.0","63.0","5.0","0.0","0.0","0.0","5.0","0.0","0.0","0.0","0.0","0.0","24.0","51.0","0.0","0.0","0.0","5.0","0.0","0.0","0.0","2.0","1.0","5.0","0.0","0.0","35.0","63.0","4.0","0.0","4.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.0","4.0","0.0","0.0","0.0","0.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0"
"紀の川市","263.0","103.0","160.0","14.0","1.0","0.0","0.0","12.0","4.0","0.0","0.0","0.0","0.0","56.0","114.0","0.0","0.0","0.0","13.0","0.0","2.0","0.0","1.0","21.0","25.0","0.0","0.0","103.0","160.0","51.0","10.0","41.0","0.0","1.0","0.0","0.0","9.0","7.0","0.0","0.0","0.0","1.0","0.0","7.0","1.0","25.0","11.0","0.0","0.0","0.0","0.0","11.0","0.0","0.0","0.0","0.0","0.0","0.0"
"岩出市","180.0","64.0","116.0","5.0","1.0","0.0","0.0","6.0","1.0","0.0","0.0","0.0","0.0","40.0","91.0","0.0","0.0","0.0","5.0","0.0","3.0","0.0","1.0","13.0","14.0","0.0","0.0","64.0","116.0","33.0","5.0","28.0","0.0","0.0","0.0","0.0","2.0","2.0","0.0","0.0","0.0","0.0","0.0","11.0","3.0","15.0","5.0","0.0","0.0","0.0","0.0","5.0","0.0","0.0","0.0","0.0","0.0","0.0"
"紀美野町","40.0","19.0","21.0","4.0","0.0","0.0","0.0","2.0","1.0","0.0","0.0","0.0","0.0","9.0","12.0","0.0","0.0","0.0","3.0","0.0","0.0","0.0","1.0","4.0","4.0","0.0","0.0","19.0","21.0","9.0","3.0","6.0","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","3.0","1.0","3.0","2.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0"
"かつらぎ町","72.0","31.0","41.0","5.0","0.0","0.0","0.0","3.0","2.0","0.0","0.0","0.0","0.0","23.0","32.0","0.0","0.0","0.0","3.0","0.0","2.0","0.0","0.0","0.0","2.0","0.0","0.0","31.0","41.0","3.0","3.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0"
"九度山町","18.0","8.0","10.0","1.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","5.0","6.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","1.0","1.0","1.0","0.0","0.0","8.0","10.0","11.0","5.0","6.0","0.0","0.0","1.0","0.0","4.0","2.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","2.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0"
"高野町","19.0","9.0","10.0","3.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","4.0","8.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","9.0","10.0","8.0","4.0","4.0","0.0","0.0","1.0","0.0","1.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"湯浅町","65.0","21.0","44.0","4.0","0.0","0.0","0.0","2.0","2.0","0.0","0.0","0.0","0.0","12.0","34.0","0.0","0.0","0.0","3.0","0.0","1.0","0.0","1.0","3.0","3.0","0.0","0.0","21.0","44.0","9.0","0.0","9.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","3.0","0.0","4.0","3.0","0.0","0.0","0.0","0.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0"
"広川町","45.0","16.0","29.0","3.0","0.0","0.0","0.0","2.0","1.0","0.0","0.0","0.0","0.0","9.0","22.0","0.0","0.0","0.0","3.0","0.0","0.0","0.0","0.0","2.0","3.0","0.0","0.0","16.0","29.0","4.0","0.0","4.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","3.0","0.0","0.0","0.0","0.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0"
"有田川町","140.0","51.0","89.0","11.0","0.0","0.0","0.0","9.0","2.0","0.0","0.0","0.0","0.0","29.0","66.0","0.0","0.0","0.0","10.0","0.0","2.0","0.0","0.0","2.0","9.0","0.0","0.0","51.0","89.0","16.0","2.0","14.0","0.0","0.0","0.0","0.0","0.0","4.0","0.0","0.0","0.0","0.0","0.0","1.0","2.0","9.0","6.0","0.0","0.0","0.0","0.0","6.0","1.0","0.0","0.0","0.0","0.0","1.0"
"美浜町","25.0","9.0","16.0","2.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","5.0","13.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","9.0","16.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"日高町","38.0","15.0","23.0","3.0","0.0","0.0","0.0","3.0","0.0","0.0","0.0","0.0","0.0","9.0","20.0","0.0","0.0","0.0","2.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","15.0","23.0","2.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"由良町","34.0","15.0","19.0","3.0","0.0","0.0","0.0","3.0","0.0","0.0","0.0","0.0","0.0","7.0","14.0","0.0","0.0","0.0","2.0","0.0","2.0","0.0","0.0","2.0","1.0","0.0","0.0","15.0","19.0","4.0","0.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.0","1.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","1.0"
"印南町","48.0","18.0","30.0","4.0","0.0","0.0","0.0","3.0","1.0","0.0","0.0","0.0","0.0","10.0","24.0","0.0","0.0","0.0","4.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","18.0","30.0","2.0","1.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"みなべ町","69.0","27.0","42.0","5.0","0.0","0.0","0.0","4.0","1.0","0.0","0.0","0.0","0.0","17.0","32.0","0.0","0.0","0.0","4.0","0.0","1.0","0.0","0.0","1.0","4.0","0.0","0.0","27.0","42.0","7.0","2.0","5.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","5.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0"
"日高川町","80.0","34.0","46.0","8.0","1.0","0.0","0.0","7.0","2.0","0.0","0.0","0.0","0.0","18.0","32.0","0.0","0.0","0.0","6.0","0.0","3.0","0.0","1.0","1.0","1.0","0.0","0.0","34.0","46.0","2.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"白浜町","114.0","54.0","60.0","8.0","3.0","0.0","0.0","8.0","2.0","0.0","0.0","0.0","0.0","30.0","38.0","0.0","0.0","0.0","9.0","0.0","2.0","0.0","1.0","8.0","5.0","0.0","0.0","54.0","60.0","15.0","5.0","10.0","0.0","0.0","0.0","0.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","4.0","2.0","6.0","3.0","0.0","0.0","0.0","0.0","3.0","1.0","0.0","0.0","0.0","0.0","1.0"
"上富田町","74.0","35.0","39.0","5.0","0.0","0.0","0.0","4.0","1.0","0.0","0.0","0.0","0.0","21.0","26.0","0.0","0.0","0.0","5.0","0.0","0.0","0.0","1.0","5.0","6.0","0.0","0.0","35.0","39.0","7.0","0.0","7.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6.0","3.0","0.0","0.0","0.0","0.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0"
"すさみ町","23.0","13.0","10.0","2.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","7.0","8.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","2.0","1.0","0.0","0.0","13.0","10.0","4.0","1.0","3.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0"
"那智勝浦町","74.0","30.0","44.0","6.0","0.0","0.0","0.0","4.0","2.0","0.0","0.0","0.0","0.0","19.0","31.0","0.0","0.0","0.0","6.0","0.0","0.0","0.0","2.0","1.0","3.0","0.0","0.0","30.0","44.0","8.0","1.0","7.0","0.0","0.0","0.0","0.0","1.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5.0","2.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0"
"太地町","13.0","4.0","9.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","3.0","5.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","0.0","4.0","9.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0"
"古座川町","23.0","10.0","13.0","3.0","0.0","0.0","0.0","1.0","2.0","0.0","0.0","0.0","0.0","6.0","7.0","0.0","0.0","0.0","3.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","10.0","13.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0"
"北山村","7.0","4.0","3.0","1.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","4.0","3.0","6.0","4.0","2.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"串本町","84.0","33.0","51.0","8.0","1.0","0.0","0.0","8.0","1.0","0.0","0.0","0.0","0.0","14.0","36.0","0.0","0.0","0.0","6.0","0.0","3.0","0.0","0.0","3.0","4.0","0.0","0.0","33.0","51.0","8.0","3.0","5.0","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","5.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0"
